,number,check,name,odds,weight
0,馬番,チェック 予想印,馬名 年齢 騎手 斤量,オッズ人気,馬体重(増減)
1,1,,キタサンブラック 牡4 武豊 57.0,3.9 1人気,
2,2,,ビッシュ 牝3 幸 53.0,44.9 11人気,
3,3,,ゴールドアクター 牡5 吉田隼 57.0,4.4 2人気,
4,4,,ルージュバック 牝4 戸崎圭 55.0,14.1 7人気,
5,5,,イキートス 牡4 ファー 57.0,97.0 16人気,
6,6,,ラストインパクト 牡6 川田 57.0,71.4 13人気,
7,7,,ワンアンドオンリー 牡5 田辺 57.0,88.5 14人気,
8,8,,イラプト 牡4 ブドー 57.0,33.1 10人気,
9,9,,ディーマジェスティ 牡3 蛯名 55.0,7.9 4人気,
10,10,,トーセンバジル 牡4 内田博 57.0,49.1 12人気,
11,11,,フェイムゲーム セ6 北村宏 57.0,96.0 15人気,
12,12,,サウンズオブアース 牡5 Ｍデム 57.0,12.4 5人気,
13,13,,ヒットザターゲット 牡8 小牧 57.0,177.1 17人気,
14,14,,レインボーライン 牡3 ルメー 55.0,17.0 8人気,
15,15,,ナイトフラワー 牝4 シュタ 55.0,31.4 9人気,
16,16,,リアルスティール 牡4 ムーア 57.0,4.7 3人気,
17,17,,シュヴァルグラン 牡4 福永 57.0,14.0 6人気,
