,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2016/10/30,4東京9,曇,11,天皇賞(秋)(G1),,15,2,3,6.0,4,4,横山典弘,58.0,芝2000,良,**,1:59.9,0.6,**,14-12-10,36.9-34.2,34.0,466(-8),,,モーリス,2300.0
1,2016/10/09,4東京2,曇,11,毎日王冠(G2),,12,6,7,4.5,3,2,ルメール,57.0,芝1800,稍,**,1:46.6,0.0,**,9-9-9,35.8-34.5,33.6,474(+4),,,ルージュバック,2724.8
2,2016/06/26,3阪神8,晴,11,宝塚記念(G1),,17,1,2,9.1,3,16,横山典弘,58.0,芝2200,稍,**,2:14.9,2.1,**,4-3-3-3,34.7-36.8,38.6,470(+2),,,マリアライト,
3,2016/04/03,2阪神4,曇,11,産経大阪杯(G2),,11,7,9,3.9,2,1,横山典弘,56.0,芝2000,良,**,1:59.3,0.0,**,2-2-2-2,36.8-33.6,33.4,468(+4),,,(キタサンブラック),6778.4
4,2016/02/28,2中山2,晴,11,中山記念(G2),,11,8,10,6.5,4,2,ルメール,55.0,芝1800,良,**,1:45.9,0.0,**,10-10-9-9,36.5-34.9,33.6,464(+6),,,ドゥラメンテ,2523.2
5,2015/11/01,4東京9,晴,11,天皇賞(秋)(G1),,18,1,2,8.7,4,5,Ｍ．デム,56.0,芝2000,良,**,1:58.6,0.2,**,8-8-8,36.4-34.0,33.7,458(+2),,,ラブリーデイ,1500.0
6,2015/10/11,4東京2,曇,11,毎日王冠(G2),,13,5,7,5.0,2,6,Ｍ．デム,54.0,芝1800,良,**,1:46.1,0.5,**,13-13-12,35.9-34.0,33.0,456(-4),,,エイシンヒカリ,
7,2015/07/05,2福島2,曇,11,ラジオNIKKEI賞(G3),,16,2,3,2.8,1,1,ルメール,56.5,芝1800,良,**,1:46.4,-0.6,**,11-9-10-6,35.0-35.1,34.3,460(+2),,,(ミュゼゴースト),3757.4
8,2015/05/09,2東京5,曇,11,プリンシパルS(OP),,18,8,16,1.9,1,1,ルメール,56.0,芝2000,良,**,2:00.2,-0.2,**,14-12-11,35.0-35.0,34.1,458(-6),,,(ケツァルテナンゴ),1942.0
9,2015/03/28,2阪神1,晴,11,毎日杯(G3),,15,8,15,3.6,1,3,松山弘平,56.0,芝1800,良,**,1:47.3,0.1,**,7-3,35.9-34.7,34.5,464(0),,,ミュゼエイリアン,937.8
10,2015/02/15,1東京6,晴,11,共同通信杯(G3),,12,7,10,12.5,4,3,Ｃ．デム,56.0,芝1800,良,**,1:47.4,0.3,**,3-3-3,35.2-34.5,34.5,464(0),,,リアルスティール,936.2
11,2014/12/28,5阪神8,小雨,9,千両賞(500万下),,16,5,9,3.4,1,1,松山弘平,55.0,芝1600,良,**,1:37.4,-0.1,**,7-7,37.4-34.6,34.0,464(+4),,,(ジェルブドール),1019.9
12,2014/11/16,5京都4,晴,5,2歳新馬,,15,1,1,4.0,2,1,ルメール,55.0,芝1600,良,**,1:34.9,-0.4,**,4-3,35.0-35.3,35.0,460(0),,,(アルパーシャン),700.0
