,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
1,2016/02/28,2中山2,晴,11,中山記念(G2),,芝1800,11,良,1:45.9,36.5-34.9,ドゥラメンテ,Ｍ．デム,[東]堀宣行,アンビシャス,リアルスティール
2,2015/03/01,2中山2,雨,11,中山記念(G2),,芝1800,11,稍,1:50.3,37.5-36.1,ヌーヴォレコルト,岩田康誠,[東]斎藤誠,ロゴタイプ,ステファノス
3,2014/03/02,2中山2,雨,11,中山記念(G2),,芝1800,15,稍,1:49.8,37.3-36.9,ジャスタウェイ,横山典弘,[西]須貝尚介,アルキメデス,ロゴタイプ
4,2013/02/24,2中山2,晴,11,中山記念(G2),,芝1800,15,良,1:47.3,36.2-37.3,ナカヤマナイト,柴田善臣,[東]二ノ宮敬,ダイワファルコン,シルポート
5,2012/02/26,2中山2,曇,11,中山記念(G2),,芝1800,11,重,1:47.3,36.0-37.0,フェデラリスト,蛯名正義,[東]田中剛,シルポート,リアルインパクト
6,2011/02/27,2中山2,晴,11,中山記念(G2),,芝1800,12,良,1:46.0,36.3-34.5,ヴィクトワールピサ,Ｍデムー,[西]角居勝彦,キャプテントゥーレ,リーチザクラウン
7,2010/02/28,2中山2,晴,11,中山記念(G2),,芝1800,16,不,1:51.7,36.6-38.2,トーセンクラウン,江田照男,[東]菅原泰夫,テイエムアンコール,ショウワモダン
8,2009/03/01,2中山2,小雨,11,中山記念(G2),,芝1800,10,稍,1:49.2,37.7-35.1,カンパニー,横山典弘,[西]音無秀孝,ドリームジャーニー,アドマイヤフジ
9,2008/03/02,2中山2,晴,11,中山記念(G2),,芝1800,16,良,1:47.3,36.1-35.3,カンパニー,横山典弘,[西]音無秀孝,エイシンドーバー,エアシェイディ
10,2007/02/25,2中山2,晴,11,中山記念(G2),,芝1800,16,良,1:47.2,36.6-36.0,ローエングリン,後藤浩輝,[東]伊藤正徳,エアシェイディ,ダンスインザモア
11,2006/02/26,2中山2,雨,11,中山記念(G2),,芝1800,12,重,1:48.9,37.1-35.6,バランスオブゲーム,田中勝春,[東]宗像義忠,ダイワメジャー,エアメサイア
12,2005/02/27,2中山2,晴,11,中山記念(G2),,芝1800,14,良,1:46.5,36.7-35.5,バランスオブゲーム,田中勝春,[東]宗像義忠,カンパニー,アルビレオ
13,2004/02/29,2中山2,曇,11,中山記念(G2),,芝1800,14,良,1:44.9,35.3-35.3,サクラプレジデント,武豊,[東]小島太,サイドワインダー,ローエングリン
14,2003/03/02,3中山2,晴,11,中山記念(G2),,芝1800,12,重,1:47.6,36.4-36.3,ローエングリン,後藤浩輝,[東]伊藤正徳,バランスオブゲーム,ダイワジアン
15,2002/02/24,1中山2,晴,11,中山記念(G2),,芝1800,14,良,1:45.4,35.7-35.0,トウカイポイント,岡部幸雄,[東]後藤由之,トラストファイヤー,ラスカルスズカ
16,2001/02/25,2中山2,晴,11,中山記念(G2),,芝1800,13,良,1:47.7,36.0-37.2,アメリカンボス,江田照男,[東]田子冬樹,ジョウテンブレーヴ,ダイタクリーヴァ
17,2000/02/27,2中山2,晴,11,中山記念(G2),,芝1800,14,良,1:46.8,35.1-36.7,ダイワテキサス,後藤浩輝,[東]増沢末夫,アメリカンボス,ビッグサンデー
18,1999/03/14,2中山6,曇,11,中山記念(G2),,芝1800,12,良,1:47.5,35.3-38.1,キングヘイロー,柴田善臣,[西]坂口正大,ダイワテキサス,サンプレイス
19,1998/03/15,2中山6,晴,11,中山記念(G2),,芝1800,9,良,1:48.6,36.2-38.9,サイレンススズカ,武豊,[西]橋田満,ローゼンカバリー,ジェラスガイ
20,1997/03/09,2中山6,晴,11,中山記念(G2),,芝1800,9,良,1:48.7,37.1-36.2,キングオブダイヤ,柴田善臣,[東]清水利章,オフサイドトラップ,ローゼンカバリー
