,あなたの印※,馬名,性齢,負担重量,騎手,厩舎,予想オッズ,人気,お気に入り馬,Unnamed: 9
0,登録,あなたのメモ,,,,,,,,
1,,,,,,,,,,
2,… ◎ ○ ▲ △ ☆ 消,アイスフィヨルド,牡3,57.0,○○,武藤,441.3,22.0,,
3,… ◎ ○ ▲ △ ☆ 消,アルジャーノン,牡3,57.0,川島,荒川,425.5,21.0,,
4,… ◎ ○ ▲ △ ☆ 消,アンコールプリュ,牝3,55.0,藤岡康,友道,125.4,15.0,,
5,… ◎ ○ ▲ △ ☆ 消,カシアス,牡3,57.0,浜中,清水久,92.4,14.0,,
6,… ◎ ○ ▲ △ ☆ 消,カツジ,牡3,57.0,松山,池添兼,11.1,5.0,,
7,… ◎ ○ ▲ △ ☆ 消,ギベオン,牡3,57.0,Ｍデムー,藤原英,6.9,3.0,,
8,… ◎ ○ ▲ △ ☆ 消,ケイアイノーテック,牡3,57.0,藤岡佑,平田,7.1,4.0,,
9,… ◎ ○ ▲ △ ☆ 消,タワーオブロンドン,牡3,57.0,ルメール,藤沢和,2.3,1.0,,
10,… ◎ ○ ▲ △ ☆ 消,ダノンスマッシュ,牡3,57.0,北村友,安田隆,192.2,17.0,,
11,… ◎ ○ ▲ △ ☆ 消,テトラドラクマ,牝3,55.0,田辺,小西,5.9,2.0,,
12,… ◎ ○ ▲ △ ☆ 消,デルタバローズ,牡3,57.0,石橋脩,堀,216.6,20.0,,
13,… ◎ ○ ▲ △ ☆ 消,トーセンブレス,牝3,55.0,柴田善,加藤征,64.1,12.0,,
14,… ◎ ○ ▲ △ ☆ 消,パクスアメリカーナ,牡3,57.0,川田,中内田,12.6,6.0,,
15,… ◎ ○ ▲ △ ☆ 消,ファストアプローチ,牡3,57.0,蛯名,藤沢和,132.4,16.0,,
16,… ◎ ○ ▲ △ ☆ 消,フロンティア,牡3,57.0,○○,中内田,76.4,13.0,,
17,… ◎ ○ ▲ △ ☆ 消,プリモシーン,牝3,55.0,戸崎圭,木村,18.6,8.0,,
18,… ◎ ○ ▲ △ ☆ 消,ミスターメロディ,牡3,57.0,福永,藤原英,17.3,7.0,,
19,… ◎ ○ ▲ △ ☆ 消,ミュージアムヒル,牝3,55.0,○○,古賀慎,216.6,19.0,,
20,… ◎ ○ ▲ △ ☆ 消,リョーノテソーロ,牡3,57.0,吉田隼,武井,198.6,18.0,,
21,… ◎ ○ ▲ △ ☆ 消,ルーカス,牡3,57.0,ボウマン,堀,27.3,10.0,,
22,… ◎ ○ ▲ △ ☆ 消,レッドヴェイロン,牡3,57.0,岩田,石坂正,26.9,9.0,,
23,… ◎ ○ ▲ △ ☆ 消,ロックディスタウン,牝3,55.0,池添,藤沢和,40.3,11.0,,
