,あなたの印※,馬名,性齢,負担重量,騎手,厩舎,馬体重,予想オッズ,人気,お気に入り馬,登録,あなたのメモ
0,登録,あなたのメモ,,,,,,,,,,
1,,,,,,,,,,,,
2,… ◎ ○ ▲ △ ☆ 消,アレスバローズ,牡7,57.5,川田,角田,,15.3,6.0,,,
3,… ◎ ○ ▲ △ ☆ 消,アンヴァル,牝4,53.0,松山,藤岡,,6.7,3.0,,,
4,… ◎ ○ ▲ △ ☆ 消,エスティタート,牝6,53.0,浜中,松永幹,,87.8,11.0,,,
5,… ◎ ○ ▲ △ ☆ 消,キングハート,牡6,56.0,中谷,星野,,177.0,15.0,,,
6,… ◎ ○ ▲ △ ☆ 消,サイタスリーレッド,牡6,57.0,田中健,池添兼,,479.2,16.0,,,
7,… ◎ ○ ▲ △ ☆ 消,セイウンコウセイ,牡6,58.0,池添,上原,,13.8,5.0,,,
8,… ◎ ○ ▲ △ ☆ 消,ダイメイプリンセス,牝6,55.0,秋山,森田,,8.4,4.0,,,
9,… ◎ ○ ▲ △ ☆ 消,ダノンスマッシュ,牡4,56.5,北村友,安田隆,,2.2,1.0,,,
10,… ◎ ○ ▲ △ ☆ 消,ティーハーフ,牡9,57.0,国分恭,西浦,,78.7,10.0,,,
11,… ◎ ○ ▲ △ ☆ 消,トウショウピスト,牡7,55.0,古川,土田,,2091.9,18.0,,,
12,… ◎ ○ ▲ △ ☆ 消,ナインテイルズ,牡8,56.0,福永,中村,,19.0,7.0,,,
13,… ◎ ○ ▲ △ ☆ 消,ビップライブリー,牡6,55.0,高倉,清水久,,137.6,13.0,,,
14,… ◎ ○ ▲ △ ☆ 消,フミノムーン,牡7,54.0,国分優,西浦,,176.2,14.0,,,
15,… ◎ ○ ▲ △ ☆ 消,ペイシャフェリシタ,牝6,54.0,三浦,高木,,107.1,12.0,,,
16,… ◎ ○ ▲ △ ☆ 消,ライトフェアリー,牝7,53.0,川須,石毛,,792.5,17.0,,,
17,… ◎ ○ ▲ △ ☆ 消,ラインスピリット,牡8,56.5,森一,松永昌,,43.5,8.0,,,
18,… ◎ ○ ▲ △ ☆ 消,ラブカンプー,牝4,54.0,Ｍデムーロ,森田,,2.8,2.0,,,
19,… ◎ ○ ▲ △ ☆ 消,リョーノテソーロ,牡4,54.0,坂井,武井,,72.4,9.0,,,
