,枠番,馬番,あなたの印※,馬名,性齢,負担重量,騎手,厩舎,単勝オッズ,人気,お気に入り馬,Unnamed: 11
0,登録,あなたのメモ,,,,,,,,,,
1,,,,,,,,,,,,
2,1,1,… ◎ ○ ▲ △ ☆ 消,ミッキーロケット,牡5,58.0,和田,音無,34.4,10.0,,
3,1,2,… ◎ ○ ▲ △ ☆ 消,チェスナットコート,牡4,58.0,蛯名,矢作,10.0,7.0,,
4,2,3,… ◎ ○ ▲ △ ☆ 消,シホウ,牡7,58.0,浜中,笹田,179.4,14.0,,
5,2,4,… ◎ ○ ▲ △ ☆ 消,カレンミロティック,セ10,58.0,池添,平田,34.1,9.0,,
6,3,5,… ◎ ○ ▲ △ ☆ 消,ヤマカツライデン,牡6,58.0,松山,池添兼,67.6,13.0,,
7,3,6,… ◎ ○ ▲ △ ☆ 消,ガンコ,牡5,58.0,藤岡佑,松元,6.7,3.0,,
8,4,7,… ◎ ○ ▲ △ ☆ 消,ピンポン,牡8,58.0,宮崎,粕谷,181.9,16.0,,
9,4,8,… ◎ ○ ▲ △ ☆ 消,クリンチャー,牡4,58.0,三浦,宮本,7.7,4.0,,
10,5,9,… ◎ ○ ▲ △ ☆ 消,ソールインパクト,牡6,58.0,福永,戸田,56.4,11.0,,
11,5,10,… ◎ ○ ▲ △ ☆ 消,サトノクロニクル,牡4,58.0,川田,池江,9.9,5.0,,
12,6,11,… ◎ ○ ▲ △ ☆ 消,シュヴァルグラン,牡6,58.0,ボウマン,友道,3.3,1.0,,
13,6,12,… ◎ ○ ▲ △ ☆ 消,レインボーライン,牡5,58.0,岩田,浅見,6.2,2.0,,
14,7,13,… ◎ ○ ▲ △ ☆ 消,トウシンモンステラ,牡8,58.0,国分恭,村山,278.9,17.0,,
15,7,14,… ◎ ○ ▲ △ ☆ 消,アルバート,牡7,58.0,ルメール,堀,10.0,6.0,,
16,8,15,… ◎ ○ ▲ △ ☆ 消,トーセンバジル,牡6,58.0,Ｍデムーロ,藤原英,11.9,8.0,,
17,8,16,… ◎ ○ ▲ △ ☆ 消,スマートレイアー,牝8,56.0,四位,大久保,62.4,12.0,,
18,8,17,… ◎ ○ ▲ △ ☆ 消,トミケンスラーヴァ,牡8,58.0,秋山,竹内,181.0,15.0,,
